variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,12239,0,12239,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,12239,0,1,2022,,,,,,
dia_ocu,object,12239,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,12239,0,25,"4, 11, 1, 7, 5",,,,,,
g_hora,object,12239,0,5,"00:00 a 05:59, 06:00 a 11:59, 18:00 a 23:59, 12:00 a 17:59, Ignorada",,,,,,
g_hora_5,object,12239,0,4,"Mañana, Noche, Tarde, Ignorada",,,,,,
mes_ocu,object,12239,0,12,"Enero, Febrero, Marzo, Abril, Mayo",,,,,,
dia_sem_ocu,object,12239,0,7,"Sabado, Domingo, Lunes, Martes, Miercoles",,,,,,
depto_ocu,object,12239,0,22,"Guatemala, Jutiapa, Jalapa, Zacapa, Escuintla",,,,,,
mupio_ocu,object,12239,0,298,"Guatemala, San José Pinula, Villa Nueva, Mixco, Agua Blanca",,,,,,
zona_ocu,object,12239,0,23,"9, Ignorado, 7, 1, 6",,,,,,
sexo_per,object,12239,0,3,"Hombre, Mujer, Ignorado",,,,,,
edad_per,object,12239,0,78,"27, 31, Ignorada, 22, 26",,,,,,
g_edad_80ymas,object,12239,0,16,"25-29, 30-34, Ignorado, 20-24, 35-39",,,,,,
g_edad_60ymas,object,12239,0,12,"25-29, 30-34, Ignorado, 20-24, 35-39",,,,,,
edad_quinquenales,object,12239,0,17,"25 - 29, 30 - 34, Ignorado, 20 - 24, 35 - 39",,,,,,
estado_con,object,12239,0,3,"Ebrio, Ignorado, No Ebrio",,,,,,
mayor_menor,object,12239,0,3,"Mayor, Ignorado, Menor",,,,,,
tipo_veh,object,12239,0,19,"Automóvil, Motocicleta, Camioneta, Moto taxi, Camión",,,,,,
marca_veh,object,12239,0,110,"Honda, Mazda, Nissan, Ignorado, Mitsubishi",,,,,,
color_veh,object,12239,0,18,"Azul, Celeste, Blanco, Ignorado, Amarillo",,,,,,
modelo_veh,object,12239,0,52,"Ignorado, 2007, 2002, 1998, 2001",,,,,,
g_modelo_veh,object,12239,0,7,"Ignorado, 2000-2009, 1990-1999, 2010-2019, 2020-2029",,,,,,
tipo_eve,object,12239,0,8,"Colisión, Choque, Derrape, Vuelco, Embarrancó",,,,,,
anio,int64,12239,0,1,2022,2022.0,2022.0,2022.0,0.0,,
