variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,11618,0,11618,"1, 2, 3, 4, 5",,,,,,
dia_ocu,object,11618,0,31,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,11618,0,1,2016,,,,,,
hora_ocu,object,11618,0,25,"2, 13, 10, 12, 5",,,,,,
mes_ocu,object,11618,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,11618,0,7,"5, 6, 7, 1, 2",,,,,,
mupio_ocu,object,11618,0,320,"101, 106, 109, 2201, 2007",,,,,,
depto_ocu,object,11618,0,22,"1, 22, 20, 19, 6",,,,,,
area_geo_ocu,object,11618,0,2,"1, 2",,,,,,
sexo_per,object,11618,0,3,"1, 2, 9",,,,,,
zona_ocu,object,11618,0,22,"1, 18, 99, 6, 11",,,,,,
edad_per,object,11618,0,77,"44, 27, 33, 34, 30",,,,,,
estado_con,object,11618,0,3,"1, 2, 9",,,,,,
mayor_menor,object,11618,0,3,"1, 9, 2",,,,,,
tipo_veh,object,11618,0,18,"2, 4, 1, 3, 14",,,,,,
marca_veh,object,11618,0,119,"69, 999, 48, 52, 3",,,,,,
color_veh,object,11618,0,17,"9, 5, 2, 4, 3",,,,,,
modelo_veh,object,11618,0,47,"9999, 1994, 2014, 2006, 2013",,,,,,
tipo_eve,object,11618,0,6,"1, 3, 2, 4, 99",,,,,,
g_edad_80ymas,object,11618,0,16,"7, 4, 5, 3, 8",,,,,,
g_edad_60ymas,object,11618,0,12,"7, 4, 5, 3, 8",,,,,,
edad_quinquenales,object,11618,0,17,"9, 6, 7, 5, 10",,,,,,
g_hora,object,11618,0,5,"1, 3, 2, 4, 5",,,,,,
g_hora_5,object,11618,0,4,"1, 2, 3, 4",,,,,,
g_modelo_veh,object,11618,0,6,"6, 3, 5, 4, 2",,,,,,
anio,int64,11618,0,1,2016,2016.0,2016.0,2016.0,0.0,,
