variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_correlativo,float64,7904,0,7904,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,7904.0,3952.5,2281.8325968396543,,Número de correlativo
corre_base,float64,7904,0,5628,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,5628.0,2331.886639676113,1606.2502944452838,,Correlativo por base
dia_ocu,float64,7904,0,31,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,31.0,15.601720647773279,8.645507959069063,,
dia_sem_ocu,float64,7904,0,7,"3.0, 4.0, 5.0, 6.0, 7.0",1.0,7.0,4.348304655870446,2.040650942111986,,
hora_ocu,float64,7904,0,24,"4.0, 20.0, 2.0, 18.0, 1.0",0.0,23.0,13.425354251012147,7.117601450788096,,Hora de ocurrencia
g_hora,float64,7904,0,4,"1.0, 4.0, 2.0, 3.0",1.0,4.0,2.9667257085020244,1.0811820768033542,,Grupo de hora
mes_ocu,float64,7904,0,12,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,12.0,6.806174089068826,3.3636010929276154,,Mes de ocurrencia
depto_ocu,float64,7904,0,22,"1.0, 5.0, 11.0, 16.0, 18.0",1.0,22.0,7.708248987854251,6.904394217988819,,Departamento de ocurrencia
mupio_ocu,float64,7904,0,296,"101.0, 502.0, 1102.0, 1601.0, 1801.0",101.0,2217.0,775.3938512145749,690.4350632818633,,Municipio de ocurrencia
zona_ocu,float64,7904,0,22,"7.0, 1.0, 99.0, 8.0, 5.0",1.0,99.0,66.89283906882591,43.86656032910587,,Zona de ocurrencia
area_geo_ocu,float64,7904,0,2,"1.0, 2.0",1.0,2.0,1.592990890688259,0.49130767714918544,,
sexo_con,float64,7904,0,3,"1.0, 2.0, 9.0",1.0,9.0,2.6052631578947367,3.147245240990615,,Sexo del conductor
edad_con,float64,7904,0,72,"20.0, 21.0, 30.0, 26.0, 18.0",12.0,999.0,298.6318319838057,431.27241632289804,,Edad del conductor
g_edad,float64,7904,0,12,"3.0, 5.0, 4.0, 2.0, 9.0",1.0,12.0,7.091346153846154,3.606692502579666,,Grupo de edad
mayor_menor,float64,7904,0,3,"1.0, 2.0, 9.0",1.0,9.0,2.558830971659919,3.146324870718454,,Mayor o menor
estado_con,float64,7904,0,3,"9.0, 2.0, 1.0",1.0,9.0,6.954453441295547,3.4236045856242847,,Estado del conductor
tipo_veh,float64,7904,0,18,"1.0, 2.0, 4.0, 3.0, 99.0",1.0,99.0,12.222292510121457,27.033794963110864,,Tipo de vehículo
modelo_veh,float64,7904,0,6,"3.0, 4.0, 9.0, 5.0, 2.0",1.0,9.0,7.5145495951417,2.43119480633064,,Modelo del vehículo
color_veh,float64,7904,0,16,"5.0, 99.0, 11.0, 1.0, 7.0",1.0,99.0,41.533527327935225,46.594431122976566,,Color del vehículo
marca_veh,float64,7904,0,57,"32.0, 46.0, 21.0, 2.0, 42.0",1.0,99.0,53.06781376518219,34.891784499544876,,Marca del vehículo
tipo_eve,float64,7904,0,5,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,5.0,2.367914979757085,1.7751680103930765,,Tipo de evento
anio,int64,7904,0,1,2014,2014.0,2014.0,2014.0,0.0,,
