variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,9823,0,9823,"1, 2, 3, 4, 5",,,,,,
mes_ocu,object,9823,0,12,"1, 2, 3, 4, 5",,,,,,
dia_ocu,object,9823,0,31,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,9823,0,7,"4, 5, 6, 7, 1",,,,,,
hora_ocu,object,9823,0,24,"16, 22, 2, 9, 1",,,,,,
g_hora,object,9823,0,4,"3, 4, 1, 2",,,,,,
g_hora_5,object,9823,0,3,"2, 3, 1",,,,,,
depto_ocu,object,9823,0,22,"1, 6, 11, 15, 21",,,,,,
mupio_ocu,object,9823,0,308,"101, 115, 114, 110, 602",,,,,,
area_geo_ocu,object,9823,0,2,"1, 2",,,,,,
zona_ocu,object,9823,0,23,"1, 16, 7, 12, 8",,,,,,
sexo_per,object,9823,0,3,"2, 1, 9",,,,,,
edad_per,object,9823,0,75,"24, 19, 32, 18, 999",,,,,,
mayor_menor,object,9823,0,3,"1, 9, 2",,,,,,
g_edad_80ymas,object,9823,0,16,"3, 2, 5, 16, 4",,,,,,
g_edad_60ymas,object,9823,0,12,"3, 2, 5, 12, 4",,,,,,
edad_quinquenales,object,9823,0,16,"5, 4, 7, 18, 6",,,,,,
estado_con,object,9823,0,3,"9, 1, 2",,,,,,
tipo_veh,object,9823,0,19,"1, 4, 3, 7, 6",,,,,,
marca_veh,object,9823,0,52,"32, 21, 44, 40, 34",,,,,,
color_veh,object,9823,0,16,"11, 5, 3, 1, 6",,,,,,
modelo_veh,object,9823,0,48,"2003, 2011, 9999, 2000, 2001",,,,,,
g_modelo_veh,object,9823,0,6,"4, 5, 6, 3, 2",,,,,,
tipo_eve,object,9823,0,5,"1, 2, 3, 4, 5",,,,,,
anio,int64,9823,0,1,2015,2015.0,2015.0,2015.0,0.0,,
