variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,12197,0,12197,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,12197,0,1,2023,,,,,,
dia_ocu,object,12197,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,12197,0,25,"15, 20, 23, 10, 17",,,,,,
g_hora,object,12197,0,5,"12:00 a 17:59, 18:00 a 23:59, 06:00 a 11:59, 00:00 a 05:59, Ignorada",,,,,,
g_hora_5,object,12197,0,4,"Tarde, Noche, Mañana, Ignorada",,,,,,
mes_ocu,object,12197,0,12,"Enero, Febrero, Marzo, Abril, Mayo",,,,,,
dia_sem_ocu,object,12197,0,7,"Domingo, Lunes, Martes, Miércoles, Jueves",,,,,,
depto_ocu,object,12197,0,22,"Guatemala, Zacapa, Escuintla, Santa Rosa, Suchitepéquez",,,,,,
mupio_ocu,object,12197,0,291,"Palencia, Guatemala, Villa Canales, San Juan Sacatepéquez, Usumatlán",,,,,,
zona_ocu,object,12197,0,23,"Ignorado, 18, 6, 13, 12",,,,,,
sexo_per,object,12197,0,3,"Hombre, Mujer, Ignorado",,,,,,
edad_per,object,12197,0,77,"38, 17, 52, 22, 30",,,,,,
g_edad_80ymas,object,12197,0,16,"35-39, 15-19, 50-54, 20-24, 30-34",,,,,,
g_edad_60ymas,object,12197,0,12,"35-39, 15-19, 50-54, 20-24, 30-34",,,,,,
edad_quinquenales,object,12197,0,17,"35 - 39, 15 - 19, 50 - 54, 20 - 24, 30 - 34",,,,,,
estado_con,object,12197,0,3,"Ignorado, No Ebrio, Ebrio",,,,,,
mayor_menor,object,12197,0,3,"Mayor, Menor, Ignorado",,,,,,
tipo_veh,object,12197,0,18,"Pick up, Motocicleta, Automóvil, Camioneta, Cabezal",,,,,,
marca_veh,object,12197,0,100,"Nissan, Freedom, Bajaj, Suzuki, Ignorado",,,,,,
color_veh,object,12197,0,18,"Negro, Gris, Azul, Blanco, Rojo",,,,,,
modelo_veh,object,12197,0,52,"2017, 1986, 2022, 2021, Ignorado",,,,,,
g_modelo_veh,object,12197,0,7,"2010-2019, 1980-1989, 2020-2029, Ignorado, 2000-2009",,,,,,
tipo_eve,object,12197,0,7,"Colisión, Derrape, Choque, Vuelco, Embarrancó",,,,,,
anio,int64,12197,0,1,2023,2023.0,2023.0,2023.0,0.0,,
