num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,anio
48,2,2016,2,1,6,101,1,1,1,1,19,1,1,4,6,3,9999,1,2,2,4,1,1,6,2016
49,2,2016,21,1,6,101,1,2,1,1,29,2,1,1,27,3,1991,1,4,4,6,4,3,3,2016
50,2,2016,21,1,6,101,1,2,1,1,32,2,1,1,27,9,2001,1,5,5,7,4,3,4,2016
51,2,2016,23,1,6,2007,20,2,1,99,23,1,1,4,64,1,2003,2,3,3,5,4,3,4,2016
52,2,2016,14,1,6,1904,19,2,1,99,45,1,1,6,19,5,2001,1,8,8,10,3,2,4,2016
53,2,2016,14,1,6,1904,19,2,2,99,31,1,1,2,27,4,9999,1,5,5,7,3,2,6,2016
54,2,2016,16,1,6,1905,19,2,1,99,32,1,1,5,69,2,2004,1,5,5,7,3,2,4,2016
55,2,2016,16,1,6,1905,19,2,1,99,35,9,1,4,6,5,9999,1,6,6,8,3,2,6,2016
56,2,2016,19,1,6,1903,19,2,1,99,61,1,1,1,999,99,9999,1,11,11,13,4,3,6,2016
57,2,2016,18,1,6,1904,19,2,1,99,29,1,1,2,69,4,9999,1,4,4,6,4,3,6,2016
58,2,2016,18,1,6,1904,19,2,1,99,50,1,1,1,999,4,9999,1,9,9,11,4,3,6,2016
59,2,2016,18,1,6,1904,19,2,1,99,34,1,1,12,999,4,9999,1,5,5,7,4,3,6,2016
60,2,2016,6,1,6,508,5,2,1,99,43,1,1,3,69,99,1996,1,7,7,9,2,1,3,2016
61,2,2016,6,1,6,508,5,2,1,99,999,1,1,5,69,2,1996,1,16,12,18,2,1,3,2016
62,2,2016,16,1,6,501,5,2,1,99,31,1,1,4,999,99,9999,1,5,5,7,3,2,6,2016
63,2,2016,16,1,6,501,5,2,1,99,999,1,1,1,999,99,9999,1,16,12,18,3,2,6,2016
64,2,2016,23,1,6,1301,13,2,1,99,33,2,1,4,77,8,9999,1,5,5,7,4,3,6,2016
65,2,2016,14,1,6,1508,15,2,1,99,33,1,1,9,999,2,9999,1,5,5,7,3,2,6,2016
66,2,2016,14,1,6,1508,15,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,3,2,6,2016
67,2,2016,15,1,6,1409,14,2,1,99,44,1,1,5,999,99,9999,1,7,7,9,3,2,6,2016
68,2,2016,15,1,6,1409,14,2,1,99,74,1,1,99,999,99,9999,1,13,11,15,3,2,6,2016
69,2,2016,15,1,6,1409,14,2,1,99,21,1,1,99,48,3,1984,1,3,3,5,3,2,2,2016
70,2,2016,10,1,6,705,7,2,1,99,39,1,1,5,52,2,2001,1,6,6,8,2,1,4,2016
71,2,2016,10,1,6,705,7,2,9,99,999,9,9,9,69,3,9999,1,16,12,18,2,1,6,2016
72,2,2016,23,1,6,701,7,2,1,99,28,1,1,4,67,3,9999,2,4,4,6,4,3,6,2016
73,2,2016,23,1,6,401,4,2,1,99,32,2,1,1,69,11,2006,1,5,5,7,4,3,4,2016
74,2,2016,23,1,6,401,4,2,1,99,36,1,1,3,69,15,1995,1,6,6,8,4,3,3,2016
75,2,2016,20,1,6,314,3,2,1,99,28,2,1,14,80,99,2008,1,4,4,6,4,3,4,2016
76,2,2016,20,1,6,314,3,2,9,99,999,1,9,1,999,99,9999,1,16,12,18,4,3,6,2016
