num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
1,2017,1,1,1,1,1,7,101,1,6,1,37,6,6,8,1,1,12,7,7,1971,1,1,2017
2,2017,1,1,1,1,1,7,101,1,6,1,39,6,6,8,2,1,1,28,2,9999,6,1,2017
3,2017,1,2,1,1,1,7,110,1,99,1,20,3,3,5,2,1,4,18,1,9999,6,2,2017
4,2017,1,10,2,1,1,7,504,5,99,1,20,3,3,5,9,1,14,6,1,2014,5,1,2017
5,2017,1,10,2,1,1,7,504,5,99,1,25,4,4,6,9,1,1,69,4,1992,3,1,2017
6,2017,1,14,3,2,1,7,511,5,99,1,21,3,3,5,1,1,4,64,5,9999,6,1,2017
7,2017,1,14,3,2,1,7,511,5,99,1,47,8,8,10,1,1,3,69,2,1994,3,1,2017
8,2017,1,2,1,1,1,7,502,5,99,1,30,5,5,7,9,1,4,54,5,9999,6,1,2017
9,2017,1,2,1,1,1,7,502,5,99,9,999,16,12,18,9,9,1,52,4,9999,6,1,2017
10,2017,1,20,4,3,1,7,107,1,99,1,54,9,9,11,1,1,5,158,2,1994,3,1,2017
11,2017,1,20,4,3,1,7,107,1,99,1,18,2,2,4,9,1,4,999,99,9999,6,1,2017
12,2017,1,21,4,3,1,7,107,1,99,1,29,4,4,6,2,1,4,999,1,2013,5,1,2017
13,2017,1,21,4,3,1,7,107,1,99,1,54,9,9,11,1,1,1,28,2,2012,5,1,2017
14,2017,1,7,2,1,1,7,1301,13,99,1,33,5,5,7,2,1,4,67,1,2007,4,2,2017
15,2017,1,16,3,2,1,7,801,8,99,1,35,6,6,8,9,1,2,69,9,9999,6,1,2017
16,2017,1,16,3,2,1,7,801,8,99,1,999,16,12,18,9,1,1,69,1,9999,6,1,2017
17,2017,1,16,3,2,1,7,801,8,99,2,999,16,12,18,9,1,2,69,5,9999,6,1,2017
18,2017,1,18,4,3,1,7,802,8,99,1,29,4,4,6,9,1,3,56,10,1982,2,1,2017
19,2017,1,18,4,3,1,7,802,8,99,1,52,9,9,11,9,1,3,69,6,2007,4,1,2017
20,2017,1,18,4,3,1,7,1616,16,99,1,30,5,5,7,9,1,3,69,1,2004,4,2,2017
21,2017,1,0,1,1,1,7,203,2,99,1,23,3,3,5,9,1,4,6,3,9999,6,2,2017
22,2017,1,14,3,2,1,7,1703,17,99,1,45,8,8,10,9,1,8,34,2,9999,6,1,2017
23,2017,1,14,3,2,1,7,1703,17,99,1,23,3,3,5,9,1,4,27,5,9999,6,1,2017
24,2017,1,8,2,1,1,7,1710,17,99,1,22,3,3,5,9,1,4,999,99,9999,6,2,2017
25,2017,1,2,1,1,1,7,710,7,99,1,32,5,5,7,2,1,1,74,1,9999,6,2,2017
26,2017,1,10,2,1,1,7,701,7,99,1,39,6,6,8,1,1,9,69,2,9999,6,1,2017
27,2017,1,10,2,1,1,7,701,7,99,1,23,3,3,5,2,1,14,6,1,2007,4,1,2017
28,2017,1,19,4,3,1,7,413,4,99,1,28,4,4,6,2,1,3,56,4,9999,6,1,2017
29,2017,1,18,4,3,1,7,110,1,99,1,32,5,5,7,1,1,1,56,5,9999,6,1,2017
30,2017,1,18,4,3,1,7,110,1,99,9,999,16,12,18,9,9,1,999,2,9999,6,1,2017
31,2017,1,15,3,2,1,7,104,1,99,1,21,3,3,5,1,1,5,41,2,2007,4,1,2017
32,2017,1,15,3,2,1,7,104,1,99,1,22,3,3,5,1,1,4,6,5,2016,5,1,2017
33,2017,1,22,4,3,1,7,113,1,99,1,26,4,4,6,1,1,4,3,5,2016,5,1,2017
34,2017,1,22,4,3,1,7,113,1,99,9,999,16,12,18,9,9,1,999,99,9999,6,1,2017
35,2017,1,12,3,2,1,7,1021,10,99,9,999,16,12,18,9,9,1,999,3,9999,6,1,2017
36,2017,1,12,3,2,1,7,1021,10,99,1,34,5,5,7,9,1,4,6,1,9999,6,1,2017
37,2017,1,14,3,2,1,7,1004,10,99,1,20,3,3,5,9,1,1,48,5,9999,6,1,2017
38,2017,1,14,3,2,1,7,1004,10,99,1,36,6,6,8,9,1,4,6,1,2007,4,1,2017
39,2017,1,11,2,1,1,7,2001,20,99,1,34,5,5,7,9,1,1,69,1,2007,4,1,2017
40,2017,1,11,2,1,1,7,2001,20,99,1,44,7,7,9,9,1,1,48,1,1999,3,1,2017
41,2017,1,11,2,1,1,7,2001,20,99,1,29,4,4,6,1,1,1,69,1,9999,6,1,2017
42,2017,1,21,4,3,1,7,1903,19,99,1,60,11,11,13,2,1,2,41,4,9999,6,1,2017
43,2017,1,21,4,3,1,7,1903,19,99,2,25,4,4,6,1,1,1,69,5,9999,6,1,2017
44,2017,1,18,4,3,1,7,509,5,99,1,26,4,4,6,9,1,22,999,1,2015,5,1,2017
45,2017,1,11,2,1,1,7,101,1,10,1,30,5,5,7,9,1,4,999,99,9999,6,2,2017
46,2017,1,15,3,2,1,7,603,6,99,1,18,2,2,4,9,1,4,999,99,9999,6,2,2017
47,2017,2,1,1,1,1,1,110,1,99,1,24,3,3,5,1,1,3,69,2,1993,3,2,2017
48,2017,2,0,1,1,1,1,117,1,99,1,25,4,4,6,2,1,4,27,5,2016,5,2,2017
49,2017,2,14,3,2,1,1,101,1,1,1,44,7,7,9,9,1,2,69,9,2008,4,1,2017
50,2017,2,14,3,2,1,1,101,1,1,1,23,3,3,5,9,1,4,999,99,9999,6,1,2017
51,2017,2,8,2,1,1,1,2102,21,99,1,30,5,5,7,9,1,5,56,2,1995,3,1,2017
52,2017,2,8,2,1,1,1,2102,21,99,1,36,6,6,8,9,1,4,32,1,2016,5,1,2017
53,2017,2,17,3,2,1,1,2106,21,99,1,44,7,7,9,1,1,3,10,2,2002,4,1,2017
54,2017,2,17,3,2,1,1,2106,21,99,1,62,11,11,13,1,1,3,69,2,9999,6,1,2017
55,2017,2,16,3,2,1,1,2001,20,99,1,46,8,8,10,2,1,3,69,2,1989,2,1,2017
56,2017,2,16,3,2,1,1,2001,20,99,2,28,4,4,6,1,1,4,67,1,2016,5,1,2017
57,2017,2,16,3,2,1,1,2001,20,99,1,61,11,11,13,1,1,2,31,6,9999,6,1,2017
