variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,8644,0,8644,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,8644,0,1,2017,,,,,,
dia_ocu,object,8644,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,8644,0,24,"1, 2, 10, 14, 20",,,,,,
g_hora,object,8644,0,4,"1, 2, 3, 4",,,,,,
g_hora_5,object,8644,0,3,"1, 2, 3",,,,,,
mes_ocu,object,8644,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,8644,0,7,"7, 1, 2, 3, 4",,,,,,
mupio_ocu,object,8644,0,294,"101, 110, 504, 511, 502",,,,,,
depto_ocu,object,8644,0,22,"1, 5, 13, 8, 16",,,,,,
zona_ocu,object,8644,0,23,"6, 99, 10, 1, 5",,,,,,
sexo_per,object,8644,0,3,"1, 9, 2",,,,,,
edad_per,object,8644,0,79,"37, 39, 20, 25, 21",,,,,,
g_edad_80ymas,object,8644,0,16,"6, 3, 4, 8, 5",,,,,,
g_edad_60ymas,object,8644,0,12,"6, 3, 4, 8, 5",,,,,,
edad_quinquenales,object,8644,0,16,"8, 5, 6, 10, 7",,,,,,
estado_con,object,8644,0,3,"1, 2, 9",,,,,,
mayor_menor,object,8644,0,3,"1, 9, 2",,,,,,
tipo_veh,object,8644,0,17,"12, 1, 4, 14, 3",,,,,,
marca_veh,object,8644,0,101,"7, 28, 18, 6, 69",,,,,,
color_veh,object,8644,0,17,"7, 2, 1, 4, 5",,,,,,
modelo_veh,object,8644,0,48,"1971, 9999, 2014, 1992, 1994",,,,,,
g_modelo_veh,object,8644,0,6,"1, 6, 5, 3, 4",,,,,,
tipo_eve,object,8644,0,5,"1, 2, 4, 3, 5",,,,,,
anio,int64,8644,0,1,2017,2017.0,2017.0,2017.0,0.0,,
