num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
8977,2018,20,18,4,3,12,4,2001,20,99,1,999,16,12,18,9,9,9,999,3,9999,99,1,2018
8978,2018,20,18,4,3,12,4,2001,20,99,2,37,6,6,8,1,1,4,999,99,9999,99,1,2018
8979,2018,20,15,3,2,12,4,1220,12,99,1,18,2,2,4,2,1,14,999,3,9999,99,3,2018
8980,2018,20,21,4,3,12,4,1201,12,99,1,55,10,10,12,2,1,1,69,5,9999,99,1,2018
8981,2018,20,21,4,3,12,4,1201,12,99,1,999,16,12,18,1,9,1,69,4,9999,99,1,2018
8982,2018,20,0,1,1,12,4,1601,16,99,1,35,6,6,8,9,1,4,168,5,9999,99,1,2018
8983,2018,20,0,1,1,12,4,1601,16,99,1,999,16,12,18,9,1,3,999,4,9999,99,1,2018
8984,2018,20,7,2,1,12,4,1801,18,99,1,23,3,3,5,9,1,4,27,5,2007,4,1,2018
8985,2018,20,7,2,1,12,4,1801,18,99,1,999,16,12,18,9,1,4,27,5,2017,5,1,2018
8986,2018,20,20,4,3,12,4,1706,17,99,1,999,16,12,18,9,1,5,26,2,9999,99,1,2018
8987,2018,20,20,4,3,12,4,1706,17,99,1,999,16,12,18,9,1,4,999,99,9999,99,1,2018
8988,2018,21,9,2,1,12,5,108,1,99,1,72,13,11,15,9,1,3,56,8,1989,2,1,2018
8989,2018,21,9,2,1,12,5,108,1,99,1,21,3,3,5,9,1,4,1,3,9999,99,1,2018
8990,2018,21,7,2,1,12,5,1406,14,99,1,37,6,6,8,9,1,12,30,17,9999,99,1,2018
8991,2018,21,21,4,3,12,5,2001,20,99,1,23,3,3,5,9,1,4,999,99,9999,99,4,2018
8992,2018,21,22,4,3,12,5,101,1,9,1,999,16,12,18,9,1,4,3,1,9999,99,1,2018
8993,2018,21,22,4,3,12,5,101,1,9,1,22,3,3,5,9,1,4,999,1,9999,99,1,2018
8994,2018,21,23,4,3,12,5,101,1,17,1,38,6,6,8,9,1,4,6,4,2012,5,4,2018
8995,2018,21,15,3,2,12,5,115,1,99,1,21,3,3,5,9,1,1,69,6,9999,99,1,2018
8996,2018,21,15,3,2,12,5,115,1,99,1,20,3,3,5,9,1,1,999,99,9999,99,1,2018
8997,2018,21,11,2,1,12,5,1001,10,99,1,28,4,4,6,9,1,5,84,2,2018,5,1,2018
8998,2018,21,11,2,1,12,5,1001,10,99,1,46,8,8,10,9,1,4,27,2,2014,5,1,2018
8999,2018,26,13,3,2,12,3,101,1,18,1,28,4,4,6,9,1,1,48,2,2003,4,1,2018
9000,2018,24,21,4,3,12,1,104,1,99,1,15,2,2,4,9,2,14,6,1,9999,99,3,2018
9001,2018,21,7,2,1,12,5,114,1,99,1,999,16,12,18,9,1,4,6,3,9999,99,1,2018
9002,2018,21,7,2,1,12,5,114,1,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9003,2018,21,23,4,3,12,5,105,1,99,1,30,5,5,7,9,1,4,6,4,9999,99,4,2018
9004,2018,22,23,4,3,12,6,115,1,99,1,21,3,3,5,9,1,3,999,99,9999,99,2,2018
9005,2018,22,6,2,1,12,6,117,1,99,1,999,16,12,18,9,1,2,69,99,9999,99,1,2018
9006,2018,22,6,2,1,12,6,117,1,99,1,999,16,12,18,9,1,5,999,99,9999,99,1,2018
9007,2018,22,8,2,1,12,6,101,1,1,1,48,8,8,10,9,1,5,26,2,2000,4,1,2018
9008,2018,22,8,2,1,12,6,101,1,1,1,35,6,6,8,9,1,4,100,1,9999,99,1,2018
9009,2018,22,15,3,2,12,6,101,1,15,1,34,5,5,7,9,1,4,32,5,9999,99,2,2018
