num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2022,1,4,00:00 a 05:59,Ma?ana,Enero,Sabado,Guatemala,Guatemala,9,Autom?vil,Honda,Azul,Ignorado,Ignorado,Colisi?n
2,2022,1,11,06:00 a 11:59,Ma?ana,Enero,Sabado,Guatemala,San Jos? Pinula,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
3,2022,1,1,00:00 a 05:59,Ma?ana,Enero,Sabado,Guatemala,Guatemala,7,Autom?vil,Mitsubishi,Amarillo,2002,2000-2009,Choque
4,2022,1,7,06:00 a 11:59,Ma?ana,Enero,Sabado,Guatemala,Guatemala,7,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
5,2022,1,5,00:00 a 05:59,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape
6,2022,1,5,00:00 a 05:59,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape
7,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Camioneta,Ford,Verde,1998,1990-1999,Derrape
8,2022,1,0,00:00 a 05:59,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
9,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Autom?vil,Hyundai,Negro,2002,2000-2009,Choque
10,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco
11,2022,1,8,06:00 a 11:59,Ma?ana,Enero,Sabado,Jutiapa,Asunci?n Mita,Ignorada,Motocicleta,Freedom,Blanco,Ignorado,Ignorado,Choque
12,2022,1,0,00:00 a 05:59,Ma?ana,Enero,Sabado,Jalapa,San Manuel Chaparr?n,Ignorada,Motocicleta,Italika,Negro,Ignorado,Ignorado,Choque
13,2022,1,22,18:00 a 23:59,Noche,Enero,Sabado,Zacapa,Zacapa,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco
14,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Escuintla,Pal?n,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisi?n
15,2022,1,8,06:00 a 11:59,Ma?ana,Enero,Sabado,Escuintla,Escuintla,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
16,2022,1,9,06:00 a 11:59,Ma?ana,Enero,Sabado,Suchitep?quez,Mazatenango,Ignorada,Autom?vil,Mazda,Gris,Ignorado,Ignorado,Derrape
17,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Retalhuleu,San Sebasti?n,Ignorada,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
18,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Quetzaltenango,Quetzaltenango,Ignorada,Camioneta,Mazda,Negro,Ignorado,Ignorado,Vuelco
19,2022,1,23,18:00 a 23:59,Noche,Enero,Sabado,Alta Verapaz,Santa Catalina La Tinta,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape
20,2022,1,3,00:00 a 05:59,Ma?ana,Enero,Sabado,El Progreso,El J?caro,Ignorada,Cami?n,Isuzu,Blanco,Ignorado,Ignorado,Colisi?n
21,2022,1,0,00:00 a 05:59,Ma?ana,Enero,Sabado,El Progreso,Sanarate,Ignorada,Autom?vil,Ignorado,Verde,Ignorado,Ignorado,Choque
22,2022,1,15,12:00 a 17:59,Tarde,Enero,Sabado,Pet?n,San Andr?s,Ignorada,Autom?vil,Ignorado,Azul,Ignorado,Ignorado,Choque
23,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Solol?,Solol?,Ignorada,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco
24,2022,1,15,12:00 a 17:59,Tarde,Enero,Sabado,Chimaltenango,Tecp?n Guatemala,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque
25,2022,1,8,06:00 a 11:59,Ma?ana,Enero,Sabado,Sacatep?quez,San Miguel Due?as,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque
26,2022,2,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Bus urbano,Otros,Azul,2001,2000-2009,Colisi?n
27,2022,2,12,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Autom?vil,Mitsubishi,Gris,2014,2010-2019,Colisi?n
28,2022,2,0,00:00 a 05:59,Ma?ana,Enero,Domingo,Guatemala,Guatemala,7,Motocicleta,Italika,Ignorado,2016,2010-2019,Derrape
29,2022,2,18,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Petapa,7,Camioneta,Chevrolet,Gris,2007,2000-2009,Colisi?n
30,2022,2,21,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisi?n
31,2022,2,1,00:00 a 05:59,Ma?ana,Enero,Domingo,Guatemala,Villa Nueva,1,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
32,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Mixco,6,Motocicleta,Ignorado,Ignorado,2022,2020-2029,Derrape
33,2022,2,11,06:00 a 11:59,Ma?ana,Enero,Domingo,Guatemala,Mixco,1,Pick up,Nissan,Gris,Ignorado,Ignorado,Colisi?n
34,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisi?n
35,2022,2,20,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorada,Motocicleta,Bajaj,Negro,2015,2010-2019,Colisi?n
36,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,Escuintla,Ignorada,Bus urbano,Internacional,Turquesa,Ignorado,Ignorado,Derrape
37,2022,2,11,06:00 a 11:59,Ma?ana,Enero,Domingo,Santa Rosa,Pueblo Nuevo Vi?as,Ignorada,Autom?vil,Honda,Negro,2010,2010-2019,Colisi?n
38,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisi?n
39,2022,2,22,18:00 a 23:59,Noche,Enero,Domingo,Quetzaltenango,Coatepeque,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
40,2022,2,4,00:00 a 05:59,Ma?ana,Enero,Domingo,Izabal,Puerto Barrios,Ignorada,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Derrape
41,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Izabal,El Estor,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
42,2022,2,11,06:00 a 11:59,Ma?ana,Enero,Domingo,Izabal,El Estor,Ignorada,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Colisi?n
43,2022,2,10,06:00 a 11:59,Ma?ana,Enero,Domingo,Chimaltenango,Patzic?a,Ignorada,Motocicleta,Yamaha,Negro,2005,2000-2009,Colisi?n
44,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
45,2022,3,17,12:00 a 17:59,Tarde,Enero,Lunes,Guatemala,Guatemala,13,Autom?vil,Hyundai,Corinto,2006,2000-2009,Colisi?n
46,2022,3,22,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorada,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisi?n
47,2022,3,13,12:00 a 17:59,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
48,2022,3,5,00:00 a 05:59,Ma?ana,Enero,Lunes,Retalhuleu,Retalhuleu,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape
49,2022,3,9,06:00 a 11:59,Ma?ana,Enero,Lunes,Quetzaltenango,Salcaj?,Ignorada,Autom?vil,Volkswagen,Gris,Ignorado,Ignorado,Choque
50,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,San Marcos,San Rafael Pie de la Cuesta,Ignorada,Pick up,Toyota,Azul,2006,2000-2009,Colisi?n
51,2022,3,6,06:00 a 11:59,Ma?ana,Enero,Lunes,San Marcos,Ayutla,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape
52,2022,3,7,06:00 a 11:59,Ma?ana,Enero,Lunes,Totonicap?n,Totonicap?n,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco
53,2022,3,1,00:00 a 05:59,Ma?ana,Enero,Lunes,Baja Verapaz,Salam?,Ignorada,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Derrape
54,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Crist?bal Acasaguastl?n,Ignorada,Cami?n,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
55,2022,3,23,18:00 a 23:59,Noche,Enero,Lunes,El Progreso,Moraz?n,Ignorada,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Derrape
56,2022,3,8,06:00 a 11:59,Ma?ana,Enero,Lunes,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Toyota,Ignorado,Ignorado,Ignorado,Colisi?n
57,2022,3,9,06:00 a 11:59,Ma?ana,Enero,Lunes,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Honda,Gris,2006,2000-2009,Derrape
58,2022,4,8,06:00 a 11:59,Ma?ana,Enero,Martes,Guatemala,Guatemala,9,Autom?vil,Hero Hunk,Blanco,2015,2010-2019,Colisi?n
59,2022,4,15,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Guatemala,1,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
60,2022,4,7,06:00 a 11:59,Ma?ana,Enero,Martes,Guatemala,Villa Canales,2,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
61,2022,4,9,06:00 a 11:59,Ma?ana,Enero,Martes,Guatemala,Villa Canales,Ignorada,Microb?s,Toyota,Gris,Ignorado,Ignorado,Colisi?n
62,2022,4,18,18:00 a 23:59,Noche,Enero,Martes,Retalhuleu,Retalhuleu,Ignorada,Pick up,Toyota,Corinto,Ignorado,Ignorado,Colisi?n
63,2022,4,16,12:00 a 17:59,Tarde,Enero,Martes,Baja Verapaz,Salam?,Ignorada,Camioneta,Toyota,Ignorado,Ignorado,Ignorado,Colisi?n
64,2022,4,5,00:00 a 05:59,Ma?ana,Enero,Martes,Chimaltenango,San Mart?n Jilotepeque,Ignorada,Camioneta,Mercedes Benz,Celeste,2013,2010-2019,Choque
65,2022,4,10,06:00 a 11:59,Ma?ana,Enero,Martes,Sacatep?quez,Antigua Guatemala,Ignorada,Motocicleta,MRT,Verde,2019,2010-2019,Colisi?n
66,2022,5,21,18:00 a 23:59,Noche,Enero,Miercoles,Guatemala,Guatemala,13,Autom?vil,Kia,Rojo,2017,2010-2019,Colisi?n
67,2022,5,12,12:00 a 17:59,Tarde,Enero,Miercoles,Guatemala,Villa Nueva,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
68,2022,5,12,12:00 a 17:59,Tarde,Enero,Miercoles,Guatemala,Villa Nueva,Ignorada,Cami?n,Hyundai,Azul,Ignorado,Ignorado,Choque
69,2022,5,19,18:00 a 23:59,Noche,Enero,Miercoles,Jutiapa,El Progreso,Ignorada,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Colisi?n
70,2022,5,14,12:00 a 17:59,Tarde,Enero,Miercoles,Escuintla,Santa Luc?a Cotzumalguapa,Ignorada,Cabezal,Freightliner,Café,1996,1990-1999,Colisi?n
71,2022,5,20,18:00 a 23:59,Noche,Enero,Miercoles,Escuintla,Escuintla,Ignorada,Motocicleta,Haojue,Negro,Ignorado,Ignorado,Choque
72,2022,5,15,12:00 a 17:59,Tarde,Enero,Miercoles,Santa Rosa,Barberena,Ignorada,Cami?n,Isuzu,Blanco,Ignorado,Ignorado,Colisi?n
73,2022,5,17,12:00 a 17:59,Tarde,Enero,Miercoles,Suchitep?quez,Mazatenango,Ignorada,Cabezal,Freightliner,Rojo,2012,2010-2019,Colisi?n
74,2022,5,0,00:00 a 05:59,Ma?ana,Enero,Miercoles,Quetzaltenango,Salcaj?,Ignorada,Pick up,Mazda,Gris,Ignorado,Ignorado,Colisi?n
75,2022,5,6,06:00 a 11:59,Ma?ana,Enero,Miercoles,Quetzaltenango,Quetzaltenango,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
76,2022,5,18,18:00 a 23:59,Noche,Enero,Miercoles,Alta Verapaz,Cob?n,Ignorada,Autom?vil,Toyota,Negro,Ignorado,Ignorado,Colisi?n
77,2022,5,18,18:00 a 23:59,Noche,Enero,Miercoles,Alta Verapaz,Tactic,Ignorada,Motocicleta,Hero Hunk,Rojo,Ignorado,Ignorado,Derrape
78,2022,5,4,00:00 a 05:59,Ma?ana,Enero,Miercoles,Quich?,Chicam?n,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque
79,2022,5,18,18:00 a 23:59,Noche,Enero,Miercoles,Chimaltenango,Patzic?a,Ignorada,Cami?n,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
80,2022,6,18,18:00 a 23:59,Noche,Enero,Jueves,Guatemala,Guatemala,18,Autom?vil,Hyundai,Blanco,2015,2010-2019,Colisi?n
81,2022,6,7,06:00 a 11:59,Ma?ana,Enero,Jueves,Guatemala,Guatemala,12,Camioneta,Hyundai,Negro,2006,2000-2009,Colisi?n
82,2022,6,8,06:00 a 11:59,Ma?ana,Enero,Jueves,Guatemala,Guatemala,21,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
83,2022,6,7,06:00 a 11:59,Ma?ana,Enero,Jueves,Guatemala,Villa Nueva,3,Motocicleta,Bajaj,Negro,2012,2010-2019,Colisi?n
84,2022,6,20,18:00 a 23:59,Noche,Enero,Jueves,Jutiapa,Jutiapa,Ignorada,Cami?n,Internacional,Blanco,Ignorado,Ignorado,Colisi?n
85,2022,6,10,06:00 a 11:59,Ma?ana,Enero,Jueves,Chiquimula,Chiquimula,Ignorada,Pick up,Toyota,Rojo,Ignorado,Ignorado,Colisi?n
86,2022,6,6,06:00 a 11:59,Ma?ana,Enero,Jueves,Santa Rosa,Cuilapa,Ignorada,Motocicleta,Bajaj,Azul,2018,2010-2019,Derrape
87,2022,6,17,12:00 a 17:59,Tarde,Enero,Jueves,Suchitep?quez,San Pablo Jocopilas,Ignorada,Pick up,Mazda,Gris,2013,2010-2019,Colisi?n
88,2022,6,15,12:00 a 17:59,Tarde,Enero,Jueves,Izabal,Los Amates,Ignorada,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisi?n
89,2022,6,0,00:00 a 05:59,Ma?ana,Enero,Jueves,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Toyota,Gris,Ignorado,Ignorado,Choque
90,2022,6,17,12:00 a 17:59,Tarde,Enero,Jueves,Sacatep?quez,Ciudad Vieja,Ignorada,Motocicleta,Suzuki,Ignorado,Ignorado,Ignorado,Colisi?n
91,2022,7,6,06:00 a 11:59,Ma?ana,Enero,Viernes,Guatemala,Guatemala,1,Autom?vil,Honda,Blanco,2012,2010-2019,Colisi?n
92,2022,7,6,06:00 a 11:59,Ma?ana,Enero,Viernes,Guatemala,Guatemala,18,Camioneta,Honda,Negro,2008,2000-2009,Colisi?n
93,2022,7,10,06:00 a 11:59,Ma?ana,Enero,Viernes,Guatemala,Guatemala,10,Autom?vil,Volkswagen,Beige,2012,2010-2019,Colisi?n
94,2022,7,23,18:00 a 23:59,Noche,Enero,Viernes,Guatemala,Guatemala,16,Camioneta,Honda,Azul,2012,2010-2019,Colisi?n
95,2022,7,21,18:00 a 23:59,Noche,Enero,Viernes,Guatemala,Guatemala,10,Motocicleta,Serpento,Negro,Ignorado,Ignorado,Colisi?n
96,2022,7,17,12:00 a 17:59,Tarde,Enero,Viernes,Zacapa,Usumatl?n,Ignorada,Pick up,Ignorado,Ignorado,1993,1990-1999,Choque
97,2022,7,10,06:00 a 11:59,Ma?ana,Enero,Viernes,Escuintla,Escuintla,Ignorada,Cami?n,Hino,Blanco,Ignorado,Ignorado,Vuelco
98,2022,7,0,00:00 a 05:59,Ma?ana,Enero,Viernes,Santa Rosa,Guazacap?n,Ignorada,Panel,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
99,2022,7,5,00:00 a 05:59,Ma?ana,Enero,Viernes,Santa Rosa,Cuilapa,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
100,2022,7,22,18:00 a 23:59,Noche,Enero,Viernes,Suchitep?quez,Mazatenango,Ignorada,Autom?vil,Toyota,Azul,Ignorado,Ignorado,Colisi?n
101,2022,7,3,00:00 a 05:59,Ma?ana,Enero,Viernes,Quetzaltenango,Quetzaltenango,3,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape
102,2022,7,6,06:00 a 11:59,Ma?ana,Enero,Viernes,San Marcos,Catarina,Ignorada,Pick up,Toyota,Negro,Ignorado,Ignorado,Colisi?n
103,2022,7,20,18:00 a 23:59,Noche,Enero,Viernes,Huehuetenango,Huehuetenango,Ignorada,Pick up,Toyota,Azul,1995,1990-1999,Vuelco
104,2022,7,12,12:00 a 17:59,Tarde,Enero,Viernes,Totonicap?n,Santa Mar?a Chiquimula,Ignorada,Autom?vil,Ford,Ignorado,1989,1980-1989,Choque
105,2022,7,0,00:00 a 05:59,Ma?ana,Enero,Viernes,Alta Verapaz,Fray Bartolom? de las Casas,Ignorada,Camioneta,Ignorado,Rojo,Ignorado,Ignorado,Colisi?n
106,2022,7,7,06:00 a 11:59,Ma?ana,Enero,Viernes,El Progreso,Sanarate,Ignorada,Autom?vil,Honda,Verde,Ignorado,Ignorado,Vuelco
107,2022,7,0,00:00 a 05:59,Ma?ana,Enero,Viernes,Izabal,Puerto Barrios,Ignorada,Cabezal,Freightliner,Rojo,1998,1990-1999,Colisi?n
108,2022,7,15,12:00 a 17:59,Tarde,Enero,Viernes,Pet?n,Popt?n,Ignorada,Cami?n,Isuzu,Blanco,2017,2010-2019,Colisi?n
109,2022,7,11,06:00 a 11:59,Ma?ana,Enero,Viernes,Chimaltenango,El Tejar,Ignorada,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
110,2022,8,14,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Guatemala,18,Cabezal,Freightliner,Blanco,2002,2000-2009,Colisi?n
111,2022,8,17,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Palencia,Ignorada,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Derrape
112,2022,8,7,06:00 a 11:59,Ma?ana,Enero,Sabado,Guatemala,Guatemala,10,Pick up,Toyota,Negro,2022,2020-2029,Colisi?n
113,2022,8,15,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Guatemala,7,Pick up,Nissan,Rojo,1990,1990-1999,Colisi?n
114,2022,8,7,06:00 a 11:59,Ma?ana,Enero,Sabado,Guatemala,Villa Canales,3,Motocicleta,TVS Apache,Negro,Ignorado,Ignorado,Colisi?n
115,2022,8,11,06:00 a 11:59,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,6,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
116,2022,8,20,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Mixco,8,Camioneta,Honda,Gris,2013,2010-2019,Colisi?n
117,2022,8,21,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Mixco,10,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisi?n
118,2022,8,18,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Mixco,8,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
119,2022,8,0,00:00 a 05:59,Ma?ana,Enero,Sabado,Jutiapa,San Jos? Acatempa,Ignorada,Cami?n,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
120,2022,8,14,12:00 a 17:59,Tarde,Enero,Sabado,Jutiapa,Asunci?n Mita,Ignorada,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisi?n
121,2022,8,22,18:00 a 23:59,Noche,Enero,Sabado,San Marcos,Tejutla,Ignorada,Cami?n,Mercedes Benz,Blanco,Ignorado,Ignorado,Colisi?n
122,2022,8,13,12:00 a 17:59,Tarde,Enero,Sabado,Totonicap?n,San Crist?bal Totonicap?n,Ignorada,Microb?s,Toyota,Verde,Ignorado,Ignorado,Colisi?n
123,2022,8,2,00:00 a 05:59,Ma?ana,Enero,Sabado,Baja Verapaz,Salam?,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape
124,2022,8,19,18:00 a 23:59,Noche,Enero,Sabado,Baja Verapaz,San Jer?nimo,Ignorada,Pick up,Ignorado,Beige,Ignorado,Ignorado,Colisi?n
125,2022,8,17,12:00 a 17:59,Tarde,Enero,Sabado,Chimaltenango,Chimaltenango,1,Motocicleta,Bajaj,Rojo,2010,2010-2019,Derrape
126,2022,8,23,18:00 a 23:59,Noche,Enero,Sabado,Sacatep?quez,San Bartolom? Milpas Altas,Ignorada,Pick up,Nissan,Blanco,Ignorado,Ignorado,Colisi?n
127,2022,8,23,18:00 a 23:59,Noche,Enero,Sabado,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
128,2022,9,0,00:00 a 05:59,Ma?ana,Enero,Domingo,Guatemala,Guatemala,10,Microb?s,Mazda,Azul,2012,2010-2019,Choque
129,2022,9,6,06:00 a 11:59,Ma?ana,Enero,Domingo,Guatemala,Fraijanes,Ignorada,Motocicleta,TVS Apache,Azul,Ignorado,Ignorado,Derrape
130,2022,9,3,00:00 a 05:59,Ma?ana,Enero,Domingo,Guatemala,Guatemala,7,Motocicleta,TVS Apache,Negro,Ignorado,Ignorado,Derrape
131,2022,9,16,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,5,Motocicleta,Yamaha,Corinto,Ignorado,Ignorado,Derrape
132,2022,9,20,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,25,Motocicleta,Suzuki,Azul,2017,2010-2019,Derrape
133,2022,9,18,18:00 a 23:59,Noche,Enero,Domingo,Zacapa,Zacapa,Ignorada,Pick up,Isuzu,Gris,Ignorado,Ignorado,Colisi?n
134,2022,9,8,06:00 a 11:59,Ma?ana,Enero,Domingo,Izabal,Morales,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
135,2022,9,18,18:00 a 23:59,Noche,Enero,Domingo,Quich?,Sacapulas,Ignorada,Microb?s,Toyota,Blanco,2006,2000-2009,Colisi?n
136,2022,9,0,00:00 a 05:59,Ma?ana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Autom?vil,Hyundai,Amarillo,2007,2000-2009,Colisi?n
137,2022,9,1,00:00 a 05:59,Ma?ana,Enero,Domingo,Santa Rosa,Santa Cruz el Naranjo,Ignorada,Motocicleta,Jialing,Negro,Ignorado,Ignorado,Derrape
138,2022,9,1,00:00 a 05:59,Ma?ana,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorada,Autom?vil,Mitsubishi,Gris,Ignorado,Ignorado,Colisi?n
139,2022,9,0,00:00 a 05:59,Ma?ana,Enero,Domingo,Alta Verapaz,San Juan Chamelco,Ignorada,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Colisi?n
140,2022,9,21,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,6,Autom?vil,Mazda,Beige,2000,2000-2009,Colisi?n
141,2022,9,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Fraijanes,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
142,2022,9,2,00:00 a 05:59,Ma?ana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
143,2022,9,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco
144,2022,9,17,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Santa Catarina Pinula,5,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
145,2022,9,2,00:00 a 05:59,Ma?ana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Pick up,Toyota,Blanco,Ignorado,Ignorado,Choque
146,2022,10,12,12:00 a 17:59,Tarde,Enero,Lunes,Guatemala,Guatemala,5,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisi?n
147,2022,10,0,00:00 a 05:59,Ma?ana,Enero,Lunes,Guatemala,Amatitl?n,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque
148,2022,10,6,06:00 a 11:59,Ma?ana,Enero,Lunes,Guatemala,Amatitl?n,4,Panel,Mercedes Benz,Blanco,2000,2000-2009,Colisi?n
149,2022,10,6,06:00 a 11:59,Ma?ana,Enero,Lunes,Guatemala,Amatitl?n,4,Motocicleta,Bajaj,Negro,2016,2010-2019,Colisi?n
150,2022,10,16,12:00 a 17:59,Tarde,Enero,Lunes,Guatemala,Amatitl?n,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
151,2022,10,15,12:00 a 17:59,Tarde,Enero,Lunes,Guatemala,Mixco,6,Autom?vil,Mazda,Negro,Ignorado,Ignorado,Colisi?n
152,2022,10,18,18:00 a 23:59,Noche,Enero,Lunes,Zacapa,Estanzuela,Ignorada,Motocicleta,TVS Apache,Rojo,Ignorado,Ignorado,Colisi?n
153,2022,10,2,00:00 a 05:59,Ma?ana,Enero,Lunes,Escuintla,Escuintla,1,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Derrape
154,2022,10,23,18:00 a 23:59,Noche,Enero,Lunes,Totonicap?n,Totonicap?n,1,Camioneta,Toyota,Gris,1997,1990-1999,Colisi?n
155,2022,10,2,00:00 a 05:59,Ma?ana,Enero,Lunes,Alta Verapaz,Chisec,Ignorada,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Colisi?n
156,2022,10,7,06:00 a 11:59,Ma?ana,Enero,Lunes,Chimaltenango,Acatenango,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n
157,2022,10,20,18:00 a 23:59,Noche,Enero,Lunes,Sacatep?quez,Ciudad Vieja,Ignorada,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,Colisi?n
158,2022,11,19,18:00 a 23:59,Noche,Enero,Martes,Guatemala,Guatemala,1,Cami?n,Kia,Blanco,2018,2010-2019,Colisi?n
159,2022,11,20,18:00 a 23:59,Noche,Enero,Martes,Guatemala,Guatemala,6,Motocicleta,Bajaj,Azul,2012,2010-2019,Colisi?n
