núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Palencia,Ignorada,Pick up,Nissan,Negro,2017,2010-2019,Colisión
2,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Pick up,Nissan,Gris,1986,1980-1989,Colisión
3,2023,1,20,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,6,Motocicleta,Bajaj,Negro,2021,2020-2029,Derrape
4,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Motocicleta,Suzuki,Gris,2021,2020-2029,Choque
5,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,13,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Derrape
6,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Automóvil,Toyota,Blanco,2009,2000-2009,Colisión
7,2023,1,10,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Camioneta,Honda,Gris,2018,2010-2019,Colisión
8,2023,1,17,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Choque
9,2023,1,10,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Motocicleta,Asia Hero,Azul,Ignorado,Ignorado,Choque
10,2023,1,0,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Haojue,Azul,2019,2010-2019,Choque
11,2023,1,23,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
12,2023,1,1,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
13,2023,1,8,06:00 a 11:59,Mañana,Enero,Domingo,Zacapa,Usumatlán,Ignorada,Cabezal,Freightliner,Blanco,Ignorado,Ignorado,Colisión
14,2023,1,2,00:00 a 05:59,Mañana,Enero,Domingo,Escuintla,La Gomera,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque
15,2023,1,14,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
16,2023,1,22,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,Nueva Concepción,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape
17,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Camioneta,Honda,Gris,2011,2010-2019,Colisión
18,2023,1,2,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Motocicleta,Asia Hero,Ignorado,2022,2020-2029,Colisión
19,2023,1,13,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorada,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión
20,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorada,Automóvil,Hyundai,Rojo,Ignorado,Ignorado,Colisión
21,2023,1,20,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,Ignorada,Cuatrimoto,Ignorado,Rojo,Ignorado,Ignorado,Vuelco
22,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorada,Camioneta,Suzuki,Azul,Ignorado,Ignorado,Colisión
23,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,San Marcos,Sibinal,Ignorada,Pick up,Toyota,Rojo,Ignorado,Ignorado,Embarrancó
24,2023,1,21,18:00 a 23:59,Noche,Enero,Domingo,San Marcos,San Cristóbal Cucho,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Embarrancó
25,2023,1,16,12:00 a 17:59,Tarde,Enero,Domingo,Baja Verapaz,San Jerónimo,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
26,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,El Progreso,Guastatoya,Ignorada,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Derrape
27,2023,1,17,12:00 a 17:59,Tarde,Enero,Domingo,Izabal,Puerto Barrios,Ignorada,Cuatrimoto,Kawasaki,Verde,2003,2000-2009,Derrape
28,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Petén,Flores,Ignorada,Motocicleta,Otros,Rojo,2020,2020-2029,Colisión
29,2023,1,12,12:00 a 17:59,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,Ignorada,Camioneta,Hyundai,Gris,2001,2000-2009,Colisión
30,2023,2,11,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Automóvil,Honda,Gris,2011,2010-2019,Colisión
31,2023,2,20,18:00 a 23:59,Noche,Enero,Lunes,Guatemala,Guatemala,1,Motocicleta,Benelli,Blanco,Ignorado,Ignorado,Choque
32,2023,2,7,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,San José Pinula,Ignorada,Motocicleta,Bajaj,Blanco,2021,2020-2029,Colisión
33,2023,2,6,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Amatitlán,Ignorada,Motocicleta,TVS Apache,Azul,Ignorado,Ignorado,Derrape
34,2023,2,19,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorada,Pick up,Isuzu,Negro,Ignorado,Ignorado,Choque
35,2023,2,8,06:00 a 11:59,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,Ignorada,Motocicleta,Honda,Negro,2021,2020-2029,Colisión
36,2023,2,6,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorada,Pick up,Mazda,Gris,Ignorado,Ignorado,Vuelco
37,2023,2,12,12:00 a 17:59,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,Ignorada,Automóvil,Mazda,Café,Ignorado,Ignorado,Colisión
38,2023,2,7,06:00 a 11:59,Mañana,Enero,Lunes,Petén,Flores,Ignorada,Pick up,Toyota,Corinto,1984,1980-1989,Colisión
39,2023,2,20,18:00 a 23:59,Noche,Enero,Lunes,Chimaltenango,San Andrés Itzapa,Ignorada,Motocicleta,Italika,Negro,2016,2010-2019,Derrape
40,2023,2,22,18:00 a 23:59,Noche,Enero,Lunes,Guatemala,Guatemala,12,Motocicleta,Honda,Negro,2012,2010-2019,Derrape
41,2023,2,19,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,Tiquisate,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión
42,2023,3,3,00:00 a 05:59,Mañana,Enero,Martes,Guatemala,Guatemala,9,Automóvil,Hyundai,Gris,2013,2010-2019,Colisión
43,2023,3,11,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Guatemala,1,Taxi,Ignorado,Blanco,Ignorado,Ignorado,Colisión
44,2023,3,0,00:00 a 05:59,Mañana,Enero,Martes,Guatemala,Guatemala,10,Automóvil,Volkswagen,Blanco,Ignorado,Ignorado,Colisión
45,2023,3,16,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Guatemala,12,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisión
46,2023,3,10,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Bus urbano,Internacional,Blanco,Ignorado,Ignorado,Colisión
47,2023,3,15,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Petapa,7,Pick up,Ford,Corinto,2002,2000-2009,Colisión
48,2023,3,19,18:00 a 23:59,Noche,Enero,Martes,Jutiapa,Moyuta,Ignorada,Motocicleta,Yamaha,Negro,2012,2010-2019,Colisión
49,2023,3,13,12:00 a 17:59,Tarde,Enero,Martes,Chiquimula,San José la Arada,Ignorada,Microbús,Toyota,Blanco,2008,2000-2009,Vuelco
50,2023,3,9,06:00 a 11:59,Mañana,Enero,Martes,Zacapa,Estanzuela,Ignorada,Pick up,Toyota,Azul,Ignorado,Ignorado,Embarrancó
51,2023,3,17,12:00 a 17:59,Tarde,Enero,Martes,Escuintla,Nueva Concepción,Ignorada,Pick up,Nissan,Blanco,Ignorado,Ignorado,Colisión
52,2023,3,10,06:00 a 11:59,Mañana,Enero,Martes,Petén,Dolores,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape
53,2023,3,15,12:00 a 17:59,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,Ignorada,Camión,Isuzu,Blanco,2022,2020-2029,Colisión
54,2023,4,22,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Automóvil,Toyota,Blanco,2010,2010-2019,Colisión
55,2023,4,22,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Camioneta,Toyota,Gris,2002,2000-2009,Colisión
56,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
57,2023,4,23,18:00 a 23:59,Noche,Enero,Miércoles,Guatemala,Mixco,1,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
58,2023,4,14,12:00 a 17:59,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,Ignorada,Bus urbano,Internacional,Azul,2002,2000-2009,Colisión
59,2023,4,15,12:00 a 17:59,Tarde,Enero,Miércoles,Escuintla,Escuintla,Ignorada,Camioneta,Toyota,Café,2016,2010-2019,Choque
60,2023,4,16,12:00 a 17:59,Tarde,Enero,Miércoles,Escuintla,San José,Ignorada,Camioneta,Audi,Gris,Ignorado,Ignorado,Colisión
61,2023,4,23,18:00 a 23:59,Noche,Enero,Miércoles,Santa Rosa,Barberena,Ignorada,Pick up,Ignorado,Gris,2018,2010-2019,Colisión
62,2023,4,13,12:00 a 17:59,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,Ignorada,Cabezal,Freightliner,Negro,Ignorado,Ignorado,Colisión
63,2023,4,1,00:00 a 05:59,Mañana,Enero,Miércoles,Santa Rosa,Barberena,Ignorada,Automóvil,Ignorado,Gris,2002,2000-2009,Colisión
64,2023,4,17,12:00 a 17:59,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,Ignorada,Pick up,Toyota,Verde,1994,1990-1999,Colisión
65,2023,4,9,06:00 a 11:59,Mañana,Enero,Miércoles,Alta Verapaz,San Pedro Carchá,Ignorada,Bus urbano,Toyota,Azul,2016,2010-2019,Vuelco
66,2023,4,6,06:00 a 11:59,Mañana,Enero,Miércoles,Izabal,Livingston,Ignorada,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión
67,2023,4,9,06:00 a 11:59,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Motocicleta,Italika,Anaranjado,Ignorado,Ignorado,Colisión
68,2023,4,19,18:00 a 23:59,Noche,Enero,Miércoles,Sololá,Panajachel,Ignorada,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisión
69,2023,4,12,12:00 a 17:59,Tarde,Enero,Miércoles,Sacatepequez,Santo Domingo Xenacoj,3,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión
70,2023,5,21,18:00 a 23:59,Noche,Enero,Jueves,Guatemala,Guatemala,1,Motocicleta,Yamaha,Negro,2015,2010-2019,Derrape
71,2023,5,13,12:00 a 17:59,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Automóvil,Mazda,Blanco,Ignorado,Ignorado,Colisión
72,2023,5,15,12:00 a 17:59,Tarde,Enero,Jueves,Guatemala,Villa Nueva,Ignorada,Camioneta,Nissan,Negro,Ignorado,Ignorado,Vuelco
73,2023,5,7,06:00 a 11:59,Mañana,Enero,Jueves,Guatemala,Mixco,4,Camioneta,Nissan,Gris,2012,2010-2019,Colisión
74,2023,5,7,06:00 a 11:59,Mañana,Enero,Jueves,Guatemala,Guatemala,19,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
75,2023,5,9,06:00 a 11:59,Mañana,Enero,Jueves,Jutiapa,El Progreso,Ignorada,Camioneta,Honda,Rojo,1999,1990-1999,Colisión
76,2023,5,6,06:00 a 11:59,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorada,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
77,2023,5,9,06:00 a 11:59,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorada,Motocicleta,Haojue,Azul,Ignorado,Ignorado,Colisión
78,2023,5,20,18:00 a 23:59,Noche,Enero,Jueves,Escuintla,La Democracia,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión
79,2023,5,3,00:00 a 05:59,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorada,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
80,2023,5,7,06:00 a 11:59,Mañana,Enero,Jueves,Quetzaltenango,Coatepeque,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Colisión
81,2023,5,11,06:00 a 11:59,Mañana,Enero,Jueves,Huehuetenango,Huehuetenango,1,Camioneta,Toyota,Rojo,Ignorado,Ignorado,Colisión
82,2023,5,16,12:00 a 17:59,Tarde,Enero,Jueves,Alta Verapaz,Cobán,Ignorada,Motocicleta,Otros,Blanco,2021,2020-2029,Colisión
83,2023,6,1,00:00 a 05:59,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Cabezal,Freightliner,Rojo,2013,2010-2019,Colisión
84,2023,6,1,00:00 a 05:59,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
85,2023,6,7,06:00 a 11:59,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
86,2023,6,2,00:00 a 05:59,Mañana,Enero,Viernes,Guatemala,Guatemala,11,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
87,2023,6,6,06:00 a 11:59,Mañana,Enero,Viernes,Guatemala,Guatemala,21,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
88,2023,6,20,18:00 a 23:59,Noche,Enero,Viernes,Guatemala,Villa Nueva,Ignorada,Automóvil,Ford,Beige,2005,2000-2009,Colisión
89,2023,6,23,18:00 a 23:59,Noche,Enero,Viernes,Jutiapa,Asunción Mita,Ignorada,Motocicleta,Freedom,Negro,Ignorado,Ignorado,Derrape
90,2023,6,23,18:00 a 23:59,Noche,Enero,Viernes,Jutiapa,Asunción Mita,Ignorada,Motocicleta,Freedom,Negro,Ignorado,Ignorado,Derrape
91,2023,6,18,18:00 a 23:59,Noche,Enero,Viernes,Escuintla,Escuintla,Ignorada,Automóvil,Mitsubishi,Corinto,2006,2000-2009,Colisión
92,2023,6,8,06:00 a 11:59,Mañana,Enero,Viernes,San Marcos,El Tumbador,Ignorada,Camión,Peter Bilt,Morado,1998,1990-1999,Colisión
93,2023,6,12,12:00 a 17:59,Tarde,Enero,Viernes,Huehuetenango,Cuilco,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
94,2023,6,0,00:00 a 05:59,Mañana,Enero,Viernes,Alta Verapaz,Panzós,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque
95,2023,6,16,12:00 a 17:59,Tarde,Enero,Viernes,Petén,San Benito,Ignorada,Motocicleta,Bajaj,Rojo,2010,2010-2019,Colisión
96,2023,6,22,18:00 a 23:59,Noche,Enero,Viernes,Sacatepequez,Antigua Guatemala,Ignorada,Automóvil,Honda,Gris,2014,2010-2019,Colisión
97,2023,7,5,00:00 a 05:59,Mañana,Enero,Sábado,Guatemala,Guatemala,17,Motocicleta,Ignorado,Azul,Ignorado,Ignorado,Colisión
98,2023,7,6,06:00 a 11:59,Mañana,Enero,Sábado,Guatemala,Fraijanes,Ignorada,Motocicleta,Asia Hero,Azul,2023,2020-2029,Derrape
99,2023,7,18,18:00 a 23:59,Noche,Enero,Sábado,Guatemala,Guatemala,5,Motocicleta,Bajaj,Gris,Ignorado,Ignorado,Derrape
100,2023,7,4,00:00 a 05:59,Mañana,Enero,Sábado,Guatemala,Guatemala,12,Cabezal,Freightliner,Azul,2002,2000-2009,Colisión
101,2023,7,18,18:00 a 23:59,Noche,Enero,Sábado,Guatemala,Guatemala,11,Motocicleta,Italika,Ignorado,2021,2020-2029,Derrape
102,2023,7,1,00:00 a 05:59,Mañana,Enero,Sábado,Guatemala,Villa Nueva,2,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisión
103,2023,7,1,00:00 a 05:59,Mañana,Enero,Sábado,Guatemala,Villa Nueva,Ignorada,Automóvil,Ford,Corinto,Ignorado,Ignorado,Colisión
104,2023,7,17,12:00 a 17:59,Tarde,Enero,Sábado,Guatemala,Villa Nueva,Ignorada,Motocicleta,Honda,Anaranjado,Ignorado,Ignorado,Colisión
105,2023,7,20,18:00 a 23:59,Noche,Enero,Sábado,Guatemala,Villa Canales,Ignorada,Automóvil,Hyundai,Gris,2022,2020-2029,Colisión
106,2023,7,21,18:00 a 23:59,Noche,Enero,Sábado,Guatemala,Mixco,8,Camioneta,Hyundai,Azul,2016,2010-2019,Colisión
107,2023,7,20,18:00 a 23:59,Noche,Enero,Sábado,Jutiapa,Jalpatagua,Ignorada,Motocicleta,Freedom,Rojo,2022,2020-2029,Colisión
108,2023,7,18,18:00 a 23:59,Noche,Enero,Sábado,Jalapa,Jalapa,Ignorada,Motocicleta,Italika,Ignorado,2021,2020-2029,Colisión
109,2023,7,6,06:00 a 11:59,Mañana,Enero,Sábado,Jalapa,Jalapa,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
110,2023,7,9,06:00 a 11:59,Mañana,Enero,Sábado,Escuintla,Escuintla,Ignorada,Pick up,Toyota,Beige,2001,2000-2009,Colisión
111,2023,7,15,12:00 a 17:59,Tarde,Enero,Sábado,Escuintla,Escuintla,Ignorada,Motocicleta,Bajaj,Ignorado,2022,2020-2029,Derrape
112,2023,7,21,18:00 a 23:59,Noche,Enero,Sábado,Escuintla,Escuintla,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
113,2023,7,9,06:00 a 11:59,Mañana,Enero,Sábado,Santa Rosa,Guazacapán,Ignorada,Camión,Ignorado,Blanco,1995,1990-1999,Colisión
114,2023,7,18,18:00 a 23:59,Noche,Enero,Sábado,Santa Rosa,Santa Rosa de Lima,Ignorada,Pick up,Toyota,Blanco,Ignorado,Ignorado,Colisión
115,2023,7,0,00:00 a 05:59,Mañana,Enero,Sábado,Suchitepéquez,Chicacao,1,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisión
116,2023,7,15,12:00 a 17:59,Tarde,Enero,Sábado,Retalhuleu,Champerico,Ignorada,Motocicleta,Freedom,Negro,2016,2010-2019,Derrape
117,2023,7,15,12:00 a 17:59,Tarde,Enero,Sábado,Retalhuleu,Retalhuleu,Ignorada,Camioneta,Hyundai,Negro,Ignorado,Ignorado,Colisión
118,2023,7,0,00:00 a 05:59,Mañana,Enero,Sábado,Retalhuleu,Retalhuleu,Ignorada,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,Colisión
119,2023,7,1,00:00 a 05:59,Mañana,Enero,Sábado,Alta Verapaz,Cobán,Ignorada,Automóvil,Audi,Negro,2009,2000-2009,Colisión
120,2023,7,19,18:00 a 23:59,Noche,Enero,Sábado,Alta Verapaz,Santa Cruz Verapaz,Ignorada,Pick up,Ignorado,Blanco,Ignorado,Ignorado,Colisión
121,2023,7,23,18:00 a 23:59,Noche,Enero,Sábado,Alta Verapaz,Cobán,Ignorada,Camión,Nissan,Blanco,Ignorado,Ignorado,Colisión
122,2023,8,4,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,Guatemala,13,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
123,2023,8,2,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,Petapa,7,Ignorado,Hyundai,Gris,Ignorado,Ignorado,Colisión
124,2023,8,4,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,Mixco,8,Automóvil,Toyota,Blanco,2007,2000-2009,Colisión
125,2023,8,2,00:00 a 05:59,Mañana,Enero,Domingo,Izabal,Morales,Ignorada,Camioneta,Honda,Negro,2013,2010-2019,Colisión
126,2023,8,19,18:00 a 23:59,Noche,Enero,Domingo,Zacapa,Río Hondo,Ignorada,Bus urbano,Internacional,Rojo,Ignorado,Ignorado,Colisión
127,2023,8,8,06:00 a 11:59,Mañana,Enero,Domingo,San Marcos,San Pablo,Ignorada,Automóvil,Mazda,Blanco,2014,2010-2019,Colisión
128,2023,8,11,06:00 a 11:59,Mañana,Enero,Domingo,Quiché,Sacapulas,Ignorada,Cuatrimoto,Bajaj,Rojo,Ignorado,Ignorado,Colisión
129,2023,8,15,12:00 a 17:59,Tarde,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Camión,Ignorado,Blanco,1997,1990-1999,Colisión
130,2023,8,17,12:00 a 17:59,Tarde,Enero,Domingo,Santa Rosa,Barberena,Ignorada,Camioneta,Subaru,Corinto,Ignorado,Ignorado,Colisión
131,2023,8,20,18:00 a 23:59,Noche,Enero,Domingo,Santa Rosa,Cuilapa,Ignorada,Automóvil,Toyota,Azul,2007,2000-2009,Colisión
132,2023,8,6,06:00 a 11:59,Mañana,Enero,Domingo,Santa Rosa,Taxisco,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
133,2023,8,16,12:00 a 17:59,Tarde,Enero,Domingo,Huehuetenango,Huehuetenango,Ignorada,Motocicleta,Serpento,Rojo,Ignorado,Ignorado,Derrape
134,2023,8,18,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Motocicleta,Suzuki,Rojo,2015,2010-2019,Colisión
135,2023,8,19,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,7,Pick up,Toyota,Gris,1988,1980-1989,Choque
136,2023,8,18,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,12,Motocicleta,Bajaj,Negro,2022,2020-2029,Colisión
137,2023,8,16,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Villa Canales,Ignorada,Pick up,Toyota,Verde,Ignorado,Ignorado,Choque
138,2023,8,19,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
139,2023,8,4,00:00 a 05:59,Mañana,Enero,Domingo,Escuintla,Palín,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Choque
140,2023,8,12,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Pick up,Mazda,Blanco,Ignorado,Ignorado,Colisión
141,2023,8,17,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,San José,Ignorada,Pick up,Toyota,Café,1989,1980-1989,Choque
142,2023,8,20,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,Iztapa,Ignorada,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión
143,2023,8,14,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorada,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Choque
144,2023,8,18,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Champerico,Ignorada,Automóvil,Nissan,Beige,Ignorado,Ignorado,Colisión
145,2023,8,17,12:00 a 17:59,Tarde,Enero,Domingo,Chiquimula,Chiquimula,Ignorada,Pick up,Toyota,Ignorado,Ignorado,Ignorado,Colisión
146,2023,8,22,18:00 a 23:59,Noche,Enero,Domingo,Petén,Melchor de Mencos,Ignorada,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Colisión
147,2023,8,19,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Petapa,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
148,2023,8,7,06:00 a 11:59,Mañana,Enero,Domingo,Chiquimula,Chiquimula,Ignorada,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Colisión
149,2023,8,13,12:00 a 17:59,Tarde,Enero,Domingo,Santa Rosa,San Rafael las Flores,Ignorada,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Embarrancó
150,2023,9,8,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Guatemala,1,Motocicleta,Italika,Azul,Ignorado,Ignorado,Colisión
151,2023,9,20,18:00 a 23:59,Noche,Enero,Lunes,Guatemala,Guatemala,12,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
152,2023,9,7,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Amatitlán,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
153,2023,9,7,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Mixco,7,Motocicleta,Italika,Rojo,2021,2020-2029,Colisión
154,2023,9,8,06:00 a 11:59,Mañana,Enero,Lunes,Jalapa,San Pedro Pinula,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
155,2023,9,16,12:00 a 17:59,Tarde,Enero,Lunes,Escuintla,Palín,Ignorada,Cabezal,Ignorado,Negro,Ignorado,Ignorado,Embarrancó
156,2023,9,20,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorada,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Derrape
157,2023,9,9,06:00 a 11:59,Mañana,Enero,Lunes,San Marcos,Ayutla,Ignorada,Automóvil,Toyota,Rojo,Ignorado,Ignorado,Colisión
158,2023,9,15,12:00 a 17:59,Tarde,Enero,Lunes,Alta Verapaz,Cobán,Ignorada,Pick up,Toyota,Gris,2013,2010-2019,Colisión
159,2023,9,13,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,Guastatoya,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
160,2023,9,5,00:00 a 05:59,Mañana,Enero,Lunes,Izabal,Livingston,Ignorada,Camión,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
161,2023,9,21,18:00 a 23:59,Noche,Enero,Lunes,Petén,Sayaxché,Ignorada,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
162,2023,9,0,00:00 a 05:59,Mañana,Enero,Lunes,Chimaltenango,San Martín Jilotepeque,3,Motocicleta,Bajaj,Rojo,2021,2020-2029,Colisión
163,2023,9,6,06:00 a 11:59,Mañana,Enero,Lunes,Sacatepequez,Antigua Guatemala,Ignorada,Camioneta,Mitsubishi,Gris,Ignorado,Ignorado,Colisión
164,2023,9,19,18:00 a 23:59,Noche,Enero,Lunes,Sacatepequez,Antigua Guatemala,Ignorada,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
165,2023,10,12,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Guatemala,1,Automóvil,Honda,Gris,2016,2010-2019,Colisión
166,2023,10,17,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Guatemala,3,Automóvil,Hyundai,Azul,2003,2000-2009,Colisión
