variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,10397,0,10397,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,10397,0,1,2015,,,,,,
mes_ocu,object,10397,0,12,"1, 2, 3, 4, 5",,,,,,
dia_ocu,object,10397,0,31,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,10397,0,7,"4, 5, 6, 7, 1",,,,,,
hora_ocu,object,10397,0,24,"16, 22, 2, 9, 1",,,,,,
g_hora,object,10397,0,4,"3, 4, 1, 2",,,,,,
g_hora_5,object,10397,0,3,"2, 3, 1",,,,,,
depto_ocu,object,10397,0,22,"1, 6, 11, 21, 20",,,,,,
mupio_ocu,object,10397,0,304,"101, 115, 114, 110, 602",,,,,,
area_geo_ocu,object,10397,0,2,"1, 2",,,,,,
zona_ocu,object,10397,0,23,"1, 16, 7, 12, 8",,,,,,
sexo_per,object,10397,0,3,"1, 2, 9",,,,,,
edad_per,object,10397,0,94,"19, 32, 18, 20, 23",,,,,,
mayor_menor,object,10397,0,3,"1, 2, 9",,,,,,
g_edad_80ymas,object,10397,0,16,"2, 5, 3, 9, 4",,,,,,
g_edad_60ymas,object,10397,0,12,"2, 5, 3, 9, 4",,,,,,
edad_quinquenales,object,10397,0,18,"4, 7, 5, 11, 6",,,,,,
fall_les,object,10397,0,2,"2, 1",,,,,,
int_o_noint,object,10397,0,2,"1, 2",,,,,,
tipo_veh,object,10397,0,18,"4, 1, 3, 6, 2",,,,,,
marca_veh,object,10397,0,49,"21, 40, 34, 41, 99",,,,,,
color_veh,object,10397,0,15,"5, 1, 4, 6, 9",,,,,,
modelo_veh,object,10397,0,45,"2011, 9999, 2000, 2001, 2015",,,,,,
g_modelo_veh,object,10397,0,6,"5, 6, 4, 3, 1",,,,,,
tipo_eve,object,10397,0,5,"1, 2, 3, 4, 5",,,,,,
anio,int64,10397,0,1,2015,2015.0,2015.0,2015.0,0.0,,
