variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,11668,0,11668,"1, 2, 3, 4, 5",,,,,,
dia_ocu,object,11668,0,31,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,11668,0,1,2016,,,,,,
hora_ocu,object,11668,0,24,"2, 13, 10, 12, 17",,,,,,
mes_ocu,object,11668,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,11668,0,7,"5, 6, 7, 1, 2",,,,,,
mupio_ocu,object,11668,0,316,"101, 106, 109, 2201, 2007",,,,,,
depto_ocu,object,11668,0,22,"1, 22, 20, 19, 11",,,,,,
area_geo_ocu,object,11668,0,2,"1, 2",,,,,,
zona_ocu,object,11668,0,22,"1, 18, 99, 10, 6",,,,,,
sexo_per,object,11668,0,3,"1, 2, 9",,,,,,
edad_per,object,11668,0,97,"27, 38, 58, 48, 72",,,,,,
mayor_menor,object,11668,0,3,"1, 2, 9",,,,,,
tipo_veh,object,11668,0,18,"4, 1, 3, 14, 99",,,,,,
marca_veh,object,11668,0,104,"999, 52, 6, 48, 69",,,,,,
color_veh,object,11668,0,16,"9, 2, 4, 1, 6",,,,,,
modelo_veh,object,11668,0,45,"9999, 2014, 2013, 1993, 2008",,,,,,
tipo_eve,object,11668,0,6,"1, 2, 4, 3, 99",,,,,,
g_edad_80ymas,object,11668,0,16,"4, 6, 10, 8, 13",,,,,,
g_edad_60ymas,object,11668,0,12,"4, 6, 10, 8, 11",,,,,,
edad_quinquenales,object,11668,0,18,"6, 8, 12, 10, 15",,,,,,
g_hora,object,11668,0,4,"1, 3, 2, 4",,,,,,
g_hora_5,object,11668,0,3,"1, 2, 3",,,,,,
g_modelo_veh,object,11668,0,6,"6, 5, 3, 4, 2",,,,,,
fall_les,object,11668,0,2,"2, 1",,,,,,
int_o_noint,object,11668,0,3,"1, 2, 9",,,,,,
anio,int64,11668,0,1,2016,2016.0,2016.0,2016.0,0.0,,
