variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,8142,0,8142,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,8142,0,1,2020,,,,,,
dia_ocu,object,8142,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,8142,0,24,"15, 5, 7, 0, 16",,,,,,
g_hora,object,8142,0,4,"3, 1, 2, 4",,,,,,
g_hora_5,object,8142,0,3,"2, 1, 3",,,,,,
mes_ocu,object,8142,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,8142,0,7,"3, 4, 5, 6, 7",,,,,,
depto_ocu,object,8142,0,22,"1, 22, 20, 5, 10",,,,,,
mupio_ocu,object,8142,0,296,"101, 116, 2205, 2001, 509",,,,,,
zona_ocu,object,8142,0,23,"6, 12, 99, 1, 19",,,,,,
sexo_per,object,8142,0,3,"1, 2, 9",,,,,,
edad_per,object,8142,0,95,"999, 63, 52, 23, 34",,,,,,
g_edad_80ymas,object,8142,0,16,"16, 11, 9, 3, 5",,,,,,
g_edad_60ymas,object,8142,0,12,"12, 11, 9, 3, 5",,,,,,
edad_quinquenales,object,8142,0,18,"18, 13, 11, 5, 7",,,,,,
mayor_menor,object,8142,0,3,"1, 2, 9",,,,,,
tipo_veh,object,8142,0,17,"4, 1, 2, 18, 3",,,,,,
marca_veh,object,8142,0,83,"999, 32, 27, 18, 64",,,,,,
color_veh,object,8142,0,17,"99, 6, 4, 2, 5",,,,,,
modelo_veh,object,8142,0,46,"9999, 2005, 2008, 1989, 2017",,,,,,
g_modelo_veh,object,8142,0,7,"99, 4, 2, 5, 6",,,,,,
tipo_eve,object,8142,0,8,"1, 6, 3, 2, 4",,,,,,
fall_les,object,8142,0,2,"2, 1",,,,,,
int_o_noint,object,8142,0,2,"1, 2",,,,,,
anio,int64,8142,0,1,2020,2020.0,2020.0,2020.0,0.0,,
