variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,8625,0,8625,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,8625,0,1,2017,,,,,,
dia_ocu,object,8625,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,8625,0,24,"1, 2, 10, 14, 20",,,,,,
g_hora,object,8625,0,4,"1, 2, 3, 4",,,,,,
g_hora_5,object,8625,0,3,"1, 2, 3",,,,,,
mes_ocu,object,8625,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,8625,0,7,"7, 1, 2, 3, 4",,,,,,
mupio_ocu,object,8625,0,290,"101, 110, 504, 511, 502",,,,,,
depto_ocu,object,8625,0,22,"1, 5, 13, 8, 2",,,,,,
zona_ocu,object,8625,0,23,"6, 99, 10, 1, 5",,,,,,
sexo_per,object,8625,0,3,"2, 1, 9",,,,,,
edad_per,object,8625,0,97,"23, 4, 14, 20, 21",,,,,,
g_edad_80ymas,object,8625,0,16,"3, 1, 2, 6, 5",,,,,,
g_edad_60ymas,object,8625,0,12,"3, 1, 2, 6, 5",,,,,,
edad_quinquenales,object,8625,0,18,"5, 1, 3, 4, 8",,,,,,
mayor_menor,object,8625,0,3,"1, 2, 9",,,,,,
tipo_veh,object,8625,0,19,"1, 4, 14, 2, 3",,,,,,
marca_veh,object,8625,0,91,"28, 18, 6, 64, 54",,,,,,
color_veh,object,8625,0,16,"2, 1, 5, 99, 6",,,,,,
modelo_veh,object,8625,0,45,"9999, 2014, 2007, 2016, 1999",,,,,,
g_modelo_veh,object,8625,0,6,"6, 5, 4, 3, 2",,,,,,
tipo_eve,object,8625,0,5,"1, 2, 4, 3, 5",,,,,,
fall_les,object,8625,0,2,"2, 1",,,,,,
int_o_noint,object,8625,0,3,"1, 2, 9",,,,,,
anio,int64,8625,0,1,2017,2017.0,2017.0,2017.0,0.0,,
