variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,10664,0,10664,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,10664,0,1,2019,,,,,,
dia_ocu,object,10664,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,10664,0,24,"5, 21, 7, 11, 8",,,,,,
g_hora,object,10664,0,4,"1, 4, 2, 3",,,,,,
g_hora_5,object,10664,0,3,"1, 3, 2",,,,,,
mes_ocu,object,10664,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,10664,0,7,"2, 3, 4, 5, 6",,,,,,
depto_ocu,object,10664,0,22,"1, 20, 19, 5, 6",,,,,,
mupio_ocu,object,10664,0,306,"101, 102, 115, 114, 108",,,,,,
zona_ocu,object,10664,0,23,"3, 1, 18, 99, 7",,,,,,
sexo_per,object,10664,0,3,"1, 2, 9",,,,,,
edad_per,object,10664,0,97,"20, 30, 34, 23, 25",,,,,,
g_edad_80ymas,object,10664,0,16,"3, 5, 4, 1, 9",,,,,,
g_edad_60ymas,object,10664,0,12,"3, 5, 4, 1, 9",,,,,,
edad_quinquenales,object,10664,0,18,"5, 7, 6, 1, 11",,,,,,
mayor_menor,object,10664,0,3,"1, 2, 9",,,,,,
color_veh,object,10664,0,17,"5, 3, 1, 99, 2",,,,,,
modelo_veh,object,10664,0,44,"2018, 2006, 9999, 2016, 2012",,,,,,
g_modelo_veh,object,10664,0,7,"5, 4, 99, 3, 2",,,,,,
tipo_eve,object,10664,0,7,"6, 1, 3, 4, 2",,,,,,
fall_les,object,10664,0,3,"2, 1, 9",,,,,,
tipo_veh,object,10664,0,18,"4, 1, 2, 3, 14",,,,,,
marca_veh,object,10664,0,95,"64, 6, 18, 67, 27",,,,,,
int_o_noint,object,10664,0,3,"1, 2, 9",,,,,,
anio,int64,10664,0,1,2019,2019.0,2019.0,2019.0,0.0,,
