variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_correlativo,float64,8990,0,8990,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,8990.0,4495.5,2595.3337935610516,,Número de correlativo
num_corre,float64,8890,100,8890,"285.0, 298.0, 391.0, 451.0, 568.0",1.0,8890.0,4445.5,2566.4662800564256,,correlativo_2
corre_base,float64,8990,0,6417,"285.0, 298.0, 391.0, 451.0, 568.0",1.0,6417.0,2658.960622914349,1833.6546635897168,,Correlativo por base
dia_ocu,float64,8990,0,31,"18.0, 26.0, 30.0, 5.0, 28.0",1.0,31.0,15.544493882091212,8.620770763564144,,
dia_sem_ocu,float64,8990,0,7,"6.0, 7.0, 4.0, 3.0, 5.0",1.0,7.0,4.2836484983314795,2.061052148372448,,
hora_ocu,float64,8990,0,24,"2.0, 0.0, 1.0, 3.0, 4.0",0.0,23.0,13.651390433815351,6.4393199336650655,,Hora de ocurrencia
g_hora,float64,8990,0,4,"1.0, 2.0, 3.0, 4.0",1.0,4.0,2.8774193548387097,1.0359494428226583,,Grupo de hora
mes_ocu,float64,8990,0,12,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,12.0,6.699110122358176,3.4756290053870957,,Mes ocurrencia
depto_ocu,float64,8990,0,22,"1.0, 16.0, 5.0, 22.0, 15.0",1.0,22.0,8.41802002224694,6.832590268085929,,Departamento de ocurrencia
mupio_ocu,float64,8990,0,290,"101.0, 102.0, 1601.0, 509.0, 2201.0",101.0,2217.0,846.7773081201335,683.5562682733189,,Municipio de ocurrencia
zona_ocu,float64,8990,0,23,"18.0, 1.0, 6.0, 99.0, 8.0",1.0,99.0,74.9567296996663,40.43186898169431,,Zona de  ocurrencia
area_geo_ocu,float64,8990,0,2,"1.0, 2.0",1.0,2.0,1.6700778642936596,0.47021071219276717,,
sexo_vic,float64,8990,0,2,"1.0, 2.0",1.0,2.0,1.292769744160178,0.4550589581557033,,
edad_vic,float64,8990,0,99,"999.0, 1.0, 3.0, 4.0, 2.0",1.0,999.0,78.49788654060066,209.98581855390336,,
g_edad,float64,8990,0,12,"12.0, 1.0, 2.0, 3.0, 4.0",1.0,12.0,5.136596218020022,3.2793725173754456,,Grupo de edad
mayor_menor,float64,8990,0,3,"1.0, 9.0, 2.0",1.0,9.0,1.2153503893214683,0.6795555245971651,,Mayor o menor
fall_les,float64,8990,0,2,"2.0, 1.0",1.0,2.0,1.8381535038932146,0.36833042056925397,,Fallecido o lesionado
tipo_veh,float64,8990,0,18,"4.0, 3.0, 1.0, 99.0, 2.0",1.0,99.0,11.631813125695217,25.384543475132222,,Tipo de vehículo
modelo_veh,float64,8990,0,43,"9999.0, 2012.0, 2011.0, 1998.0, 2007.0",1960.0,9999.0,8022.135706340378,3450.321777788129,,Modelo del vehículo
color_veh,float64,8990,0,17,"5.0, 99.0, 6.0, 4.0, 2.0",1.0,99.0,37.54271412680757,45.502417845530154,,Color del vehículo
marca_veh,float64,8990,0,52,"24.0, 21.0, 99.0, 20.0, 32.0",2.0,99.0,54.375528364849835,34.69956591925915,,Marca del vehículo
tipo_eve,float64,8990,0,5,"1.0, 3.0, 4.0, 2.0, 5.0",1.0,5.0,2.6730812013348166,1.6919967505144884,,Tipo de evento
edad_quinquenales,float64,8990,0,18,"18.0, 1.0, 2.0, 3.0, 4.0",1.0,18.0,7.347052280311457,4.111733437586577,,Edades quinquenales
anio,int64,8990,0,1,2014,2014.0,2014.0,2014.0,0.0,,
