variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_hecho,float64,9060,0,9060,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,9060.0,4530.5,2615.5410530136974,,Numero de hecho
dia_ocu,float64,9060,0,31,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,31.0,15.152759381898456,8.843805242070307,,Día de ocurrencia
mes_ocu,float64,9060,0,12,"1.0, 2.0, 3.0, 4.0, 5.0",1.0,12.0,6.375386313465784,3.4826983324727676,,Mes de ocurrencia
dia_sem_ocu,float64,9060,0,7,"2.0, 3.0, 4.0, 5.0, 6.0",1.0,7.0,4.407064017660044,2.069035586281394,,Dia semana ocurrencia
hora_ocu,float64,9060,0,24,"5.0, 0.0, 18.0, 1.0, 7.0",0.0,23.0,13.730242825607064,6.326498618809002,,Hora de ocurrencia
g_hora,float64,9060,0,4,"1.0, 4.0, 2.0, 3.0",1.0,4.0,2.870860927152318,1.023668854187893,,Grupo de hora
depto_ocu,float64,9060,0,22,"1.0, 19.0, 5.0, 12.0, 13.0",1.0,22.0,8.381236203090507,6.861627408547684,,Departamento de ocurrencia
mupio_ocu,float64,9060,0,282,"101.0, 1901.0, 502.0, 1217.0, 1322.0",101.0,2217.0,842.882229580574,686.1306700019754,,Municipio de ocurrencia
areag_ocu,float64,9060,0,2,"1.0, 2.0",1.0,2.0,1.7214128035320089,0.44832862467518736,,Area geografica
zona_ocu,float64,9060,0,24,"11.0, 99.0, 1.0, 3.0, 5.0",0.0,99.0,54.3719646799117,47.487888055589586,,Zona de ocurrencia
sexo_pil,float64,9060,0,3,"1.0, 2.0, 9.0",1.0,9.0,1.3186534216335541,0.5042098488411231,,Sexo del piloto
edad_pil,float64,9060,0,97,"34.0, 15.0, 21.0, 22.0, 19.0",1.0,999.0,76.16048565121413,205.65040599527362,,Edad del piloto
g_edad_2,float64,9060,0,8,"5.0, 4.0, 9.0, 6.0, 8.0",2.0,9.0,5.126379690949228,1.5714324904934003,,Grupo edad menor 1 año
mayor_menor,float64,9060,0,3,"1.0, 2.0, 9.0",1.0,9.0,1.236092715231788,0.7630093106204674,,Mayor o menor
tipo_veh,float64,9060,0,18,"1.0, 4.0, 3.0, 12.0, 9.0",1.0,99.0,13.677152317880795,28.064920618962955,,Tipo de vehiculo
color_veh,float64,9060,0,15,"2.0, 1.0, 5.0, 3.0, 99.0",1.0,99.0,32.44713024282561,43.69370211258826,,Color de vehiculo
modelo_veh,float64,9060,0,6,"5.0, 6.0, 4.0, 3.0, 2.0",1.0,6.0,5.323399558498896,1.1937042456090257,,Modelo Vehiculo
causa_acc,float64,9060,0,6,"2.0, 3.0, 1.0, 4.0, 99.0",1.0,99.0,2.894812362030905,3.456169920277254,,Causa de accidente
marca_veh,float64,9060,0,43,"5.0, 24.0, 44.0, 2.0, 40.0",1.0,99.0,56.27262693156733,35.16464453928775,,Marca de vehículo
g_edad,float64,9060,0,11,"5.0, 2.0, 3.0, 1.0, 11.0",1.0,11.0,4.941390728476821,3.0322962342485087,,Grupo de edad fallecidos y lesionado
fallecidos_lesionados,float64,9060,0,2,"2.0, 1.0",1.0,2.0,1.8328918322295806,0.3730930072994809,,
otro_g_edad_fall_les,float64,9060,0,8,"4.0, 3.0, 2.0, 8.0, 6.0",1.0,8.0,3.787086092715232,1.5131717037457628,,
anio,int64,9060,0,1,2013,2013.0,2013.0,2013.0,0.0,,
