variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,10722,0,10722,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,10722,0,1,2022,,,,,,
dia_ocu,object,10722,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,10722,0,25,"4, 11, 1, 7, 5",,,,,,
g_hora,object,10722,0,5,"00:00 a 05:59, 06:00 a 11:59, 18:00 a 23:59, 12:00 a 17:59, Ignorada",,,,,,
g_hora_5,object,10722,0,4,"Mañana, Noche, Tarde, Ignorada",,,,,,
mes_ocu,object,10722,0,12,"Enero, Febrero, Marzo, Abril, Mayo",,,,,,
dia_sem_ocu,object,10722,0,7,"Sabado, Domingo, Lunes, Martes, Miercoles",,,,,,
depto_ocu,object,10722,0,22,"Guatemala, Jutiapa, Jalapa, Zacapa, Escuintla",,,,,,
mupio_ocu,object,10722,0,298,"Guatemala, San José Pinula, Villa Nueva, Mixco, Agua Blanca",,,,,,
zona_ocu,object,10722,0,23,"9, Ignorado, 7, 1, 6",,,,,,
sexo_per,object,10722,0,3,"Hombre, Mujer, Ignorado",,,,,,
edad_per,object,10722,0,96,"27, 22, 26, 35, 21",,,,,,
g_edad_80ymas,object,10722,0,16,"25-29, 20-24, 35-39, 30-34, Ignorado",,,,,,
g_edad_60ymas,object,10722,0,12,"25-29, 20-24, 35-39, 30-34, Ignorado",,,,,,
edad_quinquenales,object,10722,0,18,"25 - 29, 20 - 24, 35 - 39, 30 - 34, Ignorado",,,,,,
mayor_menor,object,10722,0,3,"Mayor, Ignorado, Menor",,,,,,
tipo_veh,object,10722,0,19,"Automóvil, Motocicleta, Camioneta, Moto taxi, Pick up",,,,,,
marca_veh,object,10722,0,90,"Honda, Ignorado, Mitsubishi, Bajaj, Yamaha",,,,,,
color_veh,object,10722,0,17,"Azul, Ignorado, Amarillo, Negro, Blanco",,,,,,
modelo_veh,object,10722,0,49,"Ignorado, 2002, 1998, 2016, 2022",,,,,,
g_modelo_veh,object,10722,0,7,"Ignorado, 2000-2009, 1990-1999, 2010-2019, 2020-2029",,,,,,
tipo_eve,object,10722,0,8,"Colisión, Choque, Derrape, Vuelco, Embarrancó",,,,,,
fall_les,object,10722,0,3,"Lesionado, Fallecido, Ignorado",,,,,,
int_o_noint,object,10722,0,3,"No internado, Internado, Ignorado",,,,,,
anio,int64,10722,0,1,2022,2022.0,2022.0,2022.0,0.0,,
