variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,9407,0,9407,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,9407,0,1,2018,,,,,,
dia_ocu,object,9407,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,9407,0,24,"16, 12, 7, 22, 23",,,,,,
g_hora,object,9407,0,4,"3, 2, 4, 1",,,,,,
g_hora_5,object,9407,0,3,"2, 1, 3",,,,,,
mes_ocu,object,9407,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,9407,0,7,"1, 2, 3, 4, 5",,,,,,
mupio_ocu,object,9407,0,303,"115, 2207, 2102, 1903, 501",,,,,,
depto_ocu,object,9407,0,22,"1, 22, 21, 19, 5",,,,,,
zona_ocu,object,9407,0,23,"99, 5, 12, 6, 1",,,,,,
sexo_per,object,9407,0,3,"1, 2, 9",,,,,,
edad_per,object,9407,0,97,"28, 18, 42, 17, 47",,,,,,
g_edad_80ymas,object,9407,0,16,"4, 2, 7, 8, 3",,,,,,
g_edad_60ymas,object,9407,0,12,"4, 2, 7, 8, 3",,,,,,
edad_quinquenales,object,9407,0,18,"6, 4, 9, 10, 5",,,,,,
mayor_menor,object,9407,0,3,"1, 2, 9",,,,,,
tipo_veh,object,9407,0,18,"4, 1, 3, 18, 11",,,,,,
marca_veh,object,9407,0,108,"32, 6, 999, 27, 69",,,,,,
color_veh,object,9407,0,17,"5, 1, 6, 9, 14",,,,,,
modelo_veh,object,9407,0,47,"9999, 1991, 1980, 2001, 2002",,,,,,
g_modelo_veh,object,9407,0,6,"99, 3, 2, 4, 5",,,,,,
tipo_eve,object,9407,0,8,"2, 1, 3, 7, 4",,,,,,
fall_les,object,9407,0,2,"2, 1",,,,,,
int_o_noint,object,9407,0,2,"1, 2",,,,,,
anio,int64,9407,0,1,2018,2018.0,2018.0,2018.0,0.0,,
